NAMESPACE            NAME                                               READY   STATUS    RESTARTS   AGE
default              traffic-generator                                  1/1     Running   0          130m
kube-system          antrea-agent-5dv2z                                 2/2     Running   0          2d4h
kube-system          antrea-agent-l5wbm                                 2/2     Running   0          2d4h
kube-system          antrea-controller-5c6bcfb69-vlmd7                  1/1     Running   0          2d4h
kube-system          capture-agent-bsqxg                                1/1     Running   0          75m
kube-system          coredns-7db6d8ff4d-9hn8z                           1/1     Running   0          2d4h
kube-system          coredns-7db6d8ff4d-r76bg                           1/1     Running   0          2d4h
kube-system          etcd-antrea-lfx-control-plane                      1/1     Running   0          2d4h
kube-system          kube-apiserver-antrea-lfx-control-plane            1/1     Running   0          2d4h
kube-system          kube-controller-manager-antrea-lfx-control-plane   1/1     Running   0          2d4h
kube-system          kube-proxy-lsssq                                   1/1     Running   0          2d4h
kube-system          kube-proxy-ssztc                                   1/1     Running   0          2d4h
kube-system          kube-scheduler-antrea-lfx-control-plane            1/1     Running   0          2d4h
local-path-storage   local-path-provisioner-988d74bc-9vwsd              1/1     Running   0          2d4h
